Sub-County Code,Sub-County,County Code,County,District Code,District
105106,MUKUNGWE,1051,BUKOTO,105,MASAKA
105201,KATWE-BUTEGO,1052,MASAKA MUNICIPALITY,105,MASAKA
105202,KIMAANYA-KYABAKUZZA,1052,MASAKA MUNICIPALITY,105,MASAKA
105203,NYENDO-SSENYANGE,1052,MASAKA MUNICIPALITY,105,MASAKA
106101,BUWAMA,1061,MAWOKOTA,106,MPIGI
106102,KAMMENGO,1061,MAWOKOTA,106,MPIGI
106103,KIRINGENTE,1061,MAWOKOTA,106,MPIGI
106104,KITUNTU,1061,MAWOKOTA,106,MPIGI
106105,MPIGI TC,1061,MAWOKOTA,106,MPIGI
106106,MUDUUMA,1061,MAWOKOTA,106,MPIGI
106107,NKOZI,1061,MAWOKOTA,106,MPIGI
107101,BUTOLOOGO,1071,BUWEKULA,107,MUBENDE
107102,KITENGA,1071,BUWEKULA,107,MUBENDE
107103,KIYUNI         ,1071,BUWEKULA,107,MUBENDE
107104,MADUDU,1071,BUWEKULA,107,MUBENDE
107105,MUBENDE TC,1071,BUWEKULA,107,MUBENDE
107201,BAGEZZA,1072,KASAMBYA,107,MUBENDE
107202,KASAMBYA,1072,KASAMBYA,107,MUBENDE
107203,KIBALINGA,1072,KASAMBYA,107,MUBENDE
107204,KIGANDO,1072,KASAMBYA,107,MUBENDE
107205,NABINGOOLA,1072,KASAMBYA,107,MUBENDE
107301,BUKUYA,1073,KASSANDA,107,MUBENDE
107302,KALWANA,1073,KASSANDA,107,MUBENDE
107303,KASSANDA,1073,KASSANDA,107,MUBENDE
107304,KIGANDA,1073,KASSANDA,107,MUBENDE
107305,KITUMBI,1073,KASSANDA,107,MUBENDE
107306,MAKOKOTO,1073,KASSANDA,107,MUBENDE
107307,MANYOGASEKA,1073,KASSANDA,107,MUBENDE
107308,MYANZI,1073,KASSANDA,107,MUBENDE
107309,NALUTUNTU,1073,KASSANDA,107,MUBENDE
108101,KOOME ISLAND,1081,MUKONO,108,MUKONO
108102,KYAMPISI,1081,MUKONO,108,MUKONO
108103,MPATTA,1081,MUKONO,108,MUKONO
108104,MPUNGE,1081,MUKONO,108,MUKONO
108105,NAKISUNGA,1081,MUKONO,108,MUKONO
108106,NAMA,1081,MUKONO,108,MUKONO
108107,NTENJERU,1081,MUKONO,108,MUKONO
108201,CENTRAL,1082,MUKONO MUNICIPALITY,108,MUKONO
108202,GOMA,1082,MUKONO MUNICIPALITY,108,MUKONO
108301,KASAWO,1083,NAKIFUMA,108,MUKONO
108302,KIMENYEDDE,1083,NAKIFUMA,108,MUKONO
108303,NABBAALE,1083,NAKIFUMA,108,MUKONO
108304,NAGOJJE,1083,NAKIFUMA,108,MUKONO
108305,NTUNDA,1083,NAKIFUMA,108,MUKONO
108306,SEETA NAMUGANGA,1083,NAKIFUMA,108,MUKONO
109101,KAKOOGE,1091,BULURI,109,NAKASONGOLA
109102,KAKOOGE TC,1091,BULURI,109,NAKASONGOLA
109103,KALONGO,1091,BULURI,109,NAKASONGOLA
109104,KALUNGI,1091,BULURI,109,NAKASONGOLA
109105,LWABIYATA,1091,BULURI,109,NAKASONGOLA
109106,LWAMPANGA,1091,BULURI,109,NAKASONGOLA
109107,MIGEERA TC,1091,BULURI,109,NAKASONGOLA
109108,NABISWEERA,1091,BULURI,109,NAKASONGOLA
109109,NAKASONGOLA TC,1091,BULURI,109,NAKASONGOLA
109110,NAKITOMA,1091,BULURI,109,NAKASONGOLA
109111,WABINYONYI,1091,BULURI,109,NAKASONGOLA
110101,KAKUUTO,1101,KAKUUTO,110,RAKAI
110102,KASASA,1101,KAKUUTO,110,RAKAI
110103,KIBANDA,1101,KAKUUTO,110,RAKAI
110104,KIFAMBA,1101,KAKUUTO,110,RAKAI
110105,KYEBE,1101,KAKUUTO,110,RAKAI
110201,BYAKABANDA,1102,KOOKI,110,RAKAI
110202,DDWANIRO,1102,KOOKI,110,RAKAI
110203,KACHEERA,1102,KOOKI,110,RAKAI
110204,KAGAMBA,1102,KOOKI,110,RAKAI
110205,KIZIBA,1102,KOOKI,110,RAKAI
110206,KYALULANGIRA,1102,KOOKI,110,RAKAI
110207,LWAMAGWA,1102,KOOKI,110,RAKAI
110208,LWANDA,1102,KOOKI,110,RAKAI
110209,RAKAI TOWN COUNCIL,1102,KOOKI,110,RAKAI
110301,KABIRA,1103,KYOTERA,110,RAKAI
110302,KALISIZO,1103,KYOTERA,110,RAKAI
110303,KALISIZO TOWN COUNCIL,1103,KYOTERA,110,RAKAI
110304,KASAALI,1103,KYOTERA,110,RAKAI
110305,KIRUMBA,1103,KYOTERA,110,RAKAI
110306,KYOTERA TOWN COUNCIL,1103,KYOTERA,110,RAKAI
110307,LWANKONI,1103,KYOTERA,110,RAKAI
110308,NABIGASA,1103,KYOTERA,110,RAKAI
111101,LWEMIYAGA,1111,LWEMIYAGA,111,SSEMBABULE
111102,NTUUSI,1111,LWEMIYAGA,111,SSEMBABULE
111201,LUGUSULU,1112,MAWOGOLA,111,SSEMBABULE
111202,LWEBITAKULI,1112,MAWOGOLA,111,SSEMBABULE
111203,MATEETE,1112,MAWOGOLA,111,SSEMBABULE
111204,MATEETE TC,1112,MAWOGOLA,111,SSEMBABULE
111205,MIJWALA,1112,MAWOGOLA,111,SSEMBABULE
111206,SEMBABULE TC,1112,MAWOGOLA,111,SSEMBABULE
112101,BBAALE,1121,BBAALE,112,KAYUNGA
112102,GALIRAYA,1121,BBAALE,112,KAYUNGA
112103,KAYONZA,1121,BBAALE,112,KAYUNGA
112104,KITIMBWA,1121,BBAALE,112,KAYUNGA
112201,BUSAANA,1122,NTENJERU,112,KAYUNGA
112202,KANGULUMIRA,1122,NTENJERU,112,KAYUNGA
112203,KAYUNGA,1122,NTENJERU,112,KAYUNGA
112204,KAYUNGA TC,1122,NTENJERU,112,KAYUNGA
112205,NAZIGO,1122,NTENJERU,112,KAYUNGA
113101,BUSSI,1131,BUSIRO,113,WAKISO
113102,KAKIRI,1131,BUSIRO,113,WAKISO
113103,KAKIRI TOWN COUNCIL,1131,BUSIRO,113,WAKISO
113104,KASANJE,1131,BUSIRO,113,WAKISO
113105,KATABI,1131,BUSIRO,113,WAKISO
113106,MASULITA,1131,BUSIRO,113,WAKISO
113107,MASULITA TOWN COUNCIL,1131,BUSIRO,113,WAKISO
113108,MENDE,1131,BUSIRO,113,WAKISO
113109,NAMAYUMBA,1131,BUSIRO,113,WAKISO
113110,NAMAYUMBA TOWN COUNCIL,1131,BUSIRO,113,WAKISO
113111,NSANGI,1131,BUSIRO,113,WAKISO
113112,SSISA,1131,BUSIRO,113,WAKISO
113113,WAKISO,1131,BUSIRO,113,WAKISO
113114,WAKISO TOWN COUNCIL,1131,BUSIRO,113,WAKISO
113201,DIVISION A,1132,ENTEBBE MUNICIPALITY,113,WAKISO
113202,DIVISION B,1132,ENTEBBE MUNICIPALITY,113,WAKISO
113301,BUSUKUMA,1133,KYADONDO,113,WAKISO
113302,GOMBE,1133,KYADONDO,113,WAKISO
113303,KIRA TOWN COUNCIL,1133,KYADONDO,113,WAKISO
113304,MAKIDYE-SSABAGABO,1133,KYADONDO,113,WAKISO
113305,NABWERU,1133,KYADONDO,113,WAKISO
113306,NANGABO,1133,KYADONDO,113,WAKISO
113307,NANSANA TOWN COUNCIL,1133,KYADONDO,113,WAKISO
114101,KALIIRO,1141,KABULA,114,LYANTONDE
114102,KASAGAMA,1141,KABULA,114,LYANTONDE
114103,KINUUKA,1141,KABULA,114,LYANTONDE
114104,LYANTONDE,1141,KABULA,114,LYANTONDE
114105,LYANTONDE TC,1141,KABULA,114,LYANTONDE
114106,MPUMUDDE,1141,KABULA,114,LYANTONDE
115101,BANDA,1151,BUSUJJU,115,MITYANA
115102,BUTAYUNJA,1151,BUSUJJU,115,MITYANA
115103,KAKINDU,1151,BUSUJJU,115,MITYANA
115104,MAANYI,1151,BUSUJJU,115,MITYANA
115105,MALANGALA,1151,BUSUJJU,115,MITYANA
115201,BULERA,1152,MITYANA,115,MITYANA
115202,BUSIMBI,1152,MITYANA,115,MITYANA
115203,KALANGALO,1152,MITYANA,115,MITYANA
115204,KIKANDWA,1152,MITYANA,115,MITYANA
115205,MITYANA TOWN COUNCIL,1152,MITYANA,115,MITYANA
115206,NAMUNGO,1152,MITYANA,115,MITYANA
115207,SSEKANYONYI,1152,MITYANA,115,MITYANA
116101,BUTALANGU TC,1161,NAKASEKE,116,NAKASEKE
116102,KAPEEKA,1161,NAKASEKE,116,NAKASEKE
116103,KASANGOMBE,1161,NAKASEKE,116,NAKASEKE
116104,KIKAMULO,1161,NAKASEKE,116,NAKASEKE
116105,KINONI,1161,NAKASEKE,116,NAKASEKE
116106,KINYOGOGA,1161,NAKASEKE,116,NAKASEKE
116107,KITO,1161,NAKASEKE,116,NAKASEKE
116108,KIWOKO TC,1161,NAKASEKE,116,NAKASEKE
116109,NAKASEKE,1161,NAKASEKE,116,NAKASEKE
116110,NAKASEKE TC,1161,NAKASEKE,116,NAKASEKE
116111,NGOMA,1161,NAKASEKE,116,NAKASEKE
116112,NGOMA TC,1161,NAKASEKE,116,NAKASEKE
116113,SEMUTO,1161,NAKASEKE,116,NAKASEKE
116114,SEMUTO TC,1161,NAKASEKE,116,NAKASEKE
116115,WAKYATO,1161,NAKASEKE,116,NAKASEKE
117101,BUIKWE,1171,BUIKWE,117,BUIKWE
117102,BUIKWE TC,1171,BUIKWE,117,BUIKWE
117103,KAWOLO,1171,BUIKWE,117,BUIKWE
117104,LUGAZI TC,1171,BUIKWE,117,BUIKWE
117105,NAJJA,1171,BUIKWE,117,BUIKWE
117106,NAJJEMBE,1171,BUIKWE,117,BUIKWE
117107,NGOGWE,1171,BUIKWE,117,BUIKWE
117108,NJERU TC,1171,BUIKWE,117,BUIKWE
117109,NKOKONJERU TC,1171,BUIKWE,117,BUIKWE
117110,NYENGA,1171,BUIKWE,117,BUIKWE
117111,SSI-BUKUNJA,1171,BUIKWE,117,BUIKWE
117112,WAKISI,1171,BUIKWE,117,BUIKWE
118101,BIGASA,1181,BUKOMANSIMBI,118,BUKOMANSIMBI
118102,BUKOMANSIMBI  TC,1181,BUKOMANSIMBI,118,BUKOMANSIMBI
118103,BUTENGA,1181,BUKOMANSIMBI,118,BUKOMANSIMBI
118104,KIBINGE,1181,BUKOMANSIMBI,118,BUKOMANSIMBI
118105,KITANDA,1181,BUKOMANSIMBI,118,BUKOMANSIMBI
119101,BUDDE,1191,BUTAMBALA,119,BUTAMBALA
119102,BULO,1191,BUTAMBALA,119,BUTAMBALA
119103,GOMBE TOWN COUNCIL,1191,BUTAMBALA,119,BUTAMBALA
119104,KALAMBA,1191,BUTAMBALA,119,BUTAMBALA
119105,KIBIBI,1191,BUTAMBALA,119,BUTAMBALA
119106,NGANDO,1191,BUTAMBALA,119,BUTAMBALA
120101,BUGAYA,1201,BUVUMA ISLAND,120,BUVUMA
120102,BUSAMUZI,1201,BUVUMA ISLAND,120,BUVUMA
120103,BUVUMA TC,1201,BUVUMA ISLAND,120,BUVUMA
120104,BUWOOYA,1201,BUVUMA ISLAND,120,BUVUMA
120105,BWEEMA,1201,BUVUMA ISLAND,120,BUVUMA
120106,LUBYA,1201,BUVUMA ISLAND,120,BUVUMA
120107,LWAJJE,1201,BUVUMA ISLAND,120,BUVUMA
120108,LYABAANA,1201,BUVUMA ISLAND,120,BUVUMA
120109,NAIRAMBI,1201,BUVUMA ISLAND,120,BUVUMA
121101,KABULASOKE,1211,GOMBA,121,GOMBA
121102,KAMONI TC,1211,GOMBA,121,GOMBA
121103,KYEGONZA,1211,GOMBA,121,GOMBA
121104,MADDU,1211,GOMBA,121,GOMBA
121105,MPENJA,1211,GOMBA,121,GOMBA
122101,BUKULULA,1221,KALUNGU,122,KALUNGU
122102,KALUNGU,1221,KALUNGU,122,KALUNGU
122103,KALUNGU TOWN COUNCIL,1221,KALUNGU,122,KALUNGU
122104,KYAMULIBWA,1221,KALUNGU,122,KALUNGU
122105,LUKAYA TOWN COUNCIL,1221,KALUNGU,122,KALUNGU
122106,LWABENGE,1221,KALUNGU,122,KALUNGU
123101,BANANYWA,1231,KIBOGA,123,KYANKWANZI
123102,BUTEMBA,1231,KIBOGA,123,KYANKWANZI
123103,BUTEMBA TC,1231,KIBOGA,123,KYANKWANZI
123104,GAYAZA,1231,KIBOGA,123,KYANKWANZI
123105,KYANKWANZI,1231,KIBOGA,123,KYANKWANZI
123106,MULAGI,1231,KIBOGA,123,KYANKWANZI
123107,NKANDWA,1231,KIBOGA,123,KYANKWANZI
123108,NSAMBYA,1231,KIBOGA,123,KYANKWANZI
123109,NTWETE,1231,KIBOGA,123,KYANKWANZI
123110,NTWETWE TC,1231,KIBOGA,123,KYANKWANZI
123111,WATTUBA,1231,KIBOGA,123,KYANKWANZI
124101,KISEKKA,1241,BUKOTO,124,LWENGO
124102,KKINGO,1241,BUKOTO,124,LWENGO
124103,KYAZANGA,1241,BUKOTO,124,LWENGO
124104,KYAZANGA TC,1241,BUKOTO,124,LWENGO
124105,LWENGO,1241,BUKOTO,124,LWENGO
124106,LWENGO TC,1241,BUKOTO,124,LWENGO
124107,MALONGO,1241,BUKOTO,124,LWENGO
124108,NDAGWE,1241,BUKOTO,124,LWENGO
201101,BUDHAYA,2011,BUKOOLI NORTH,201,BUGIRI
201102,BUGIRI  T C,2011,BUKOOLI NORTH,201,BUGIRI
201103,BULESA,2011,BUKOOLI NORTH,201,BUGIRI
201104,BULIDHA,2011,BUKOOLI NORTH,201,BUGIRI
201105,BULUGUYI,2011,BUKOOLI NORTH,201,BUGIRI
201106,BUWUNGA,2011,BUKOOLI NORTH,201,BUGIRI
201107,IWEMBA,2011,BUKOOLI NORTH,201,BUGIRI
201108,KAPYANGA,2011,BUKOOLI NORTH,201,BUGIRI
201109,MUTERERE,2011,BUKOOLI NORTH,201,BUGIRI
201110,NABUKALU,2011,BUKOOLI NORTH,201,BUGIRI
201111,NANKOMA,2011,BUKOOLI NORTH,201,BUGIRI
202101,EASTERN  ,2021,BUSIA MUNICIPALITY,202,BUSIA
202102,WESTERN DIVISION,2021,BUSIA MUNICIPALITY,202,BUSIA
202201,BUHEHE,2022,SAMIA-BUGWE,202,BUSIA
202202,BULUMBI,2022,SAMIA-BUGWE,202,BUSIA
202203,BUSIME,2022,SAMIA-BUGWE,202,BUSIA
202204,BUSITEMA,2022,SAMIA-BUGWE,202,BUSIA
202205,BUTEBA,2022,SAMIA-BUGWE,202,BUSIA
202206,BUYANGA,2022,SAMIA-BUGWE,202,BUSIA
202207,DABANI,2022,SAMIA-BUGWE,202,BUSIA
202208,LUMINO,2022,SAMIA-BUGWE,202,BUSIA
202209,LUNYO,2022,SAMIA-BUGWE,202,BUSIA
202210,MAJANJI,2022,SAMIA-BUGWE,202,BUSIA
202211,MASABA,2022,SAMIA-BUGWE,202,BUSIA
202212,MASAFU,2022,SAMIA-BUGWE,202,BUSIA
202213,MASINYA,2022,SAMIA-BUGWE,202,BUSIA
202214,SIKUDA,2022,SAMIA-BUGWE,202,BUSIA
203101,BUSEMBATIA TOWN COUNCIL,2031,BUGWERI,203,IGANGA
203102,BUYANGA,2031,BUGWERI,203,IGANGA
203103,IBULANKU,2031,BUGWERI,203,IGANGA
203104,IGOMBE,2031,BUGWERI,203,IGANGA
203105,MAKUUTU,2031,BUGWERI,203,IGANGA
203106,NAMALEMBA,2031,BUGWERI,203,IGANGA
203201,CENTRAL DIVISION,2032,IGANGA MUNICIPALITY,203,IGANGA
203202,NORTHERN DIVISION,2032,IGANGA MUNICIPALITY,203,IGANGA
203301,BULAMOGI,2033,KIGULU,203,IGANGA
203302,NABITENDE,2033,KIGULU,203,IGANGA
203303,NAKALAMA,2033,KIGULU,203,IGANGA
203304,NAKIGO,2033,KIGULU,203,IGANGA
203305,NAMBALE,2033,KIGULU,203,IGANGA
203306,NAMUNGALWE,2033,KIGULU,203,IGANGA
203307,NAWANDALA,2033,KIGULU,203,IGANGA
203308,NAWANYINGI,2033,KIGULU,203,IGANGA
204101,BUGEMBE T.C.,2041,BUTEMBE,204,JINJA
204102,BUSEDDE,2041,BUTEMBE,204,JINJA
204103,KAKIRA T.C,2041,BUTEMBE,204,JINJA
204104,MAFUBIRA,2041,BUTEMBE,204,JINJA
204201,CENTRAL,2042,JINJA MUNICIPALITY,204,JINJA
204202,MPUMUDDE,2042,JINJA MUNICIPALITY,204,JINJA
204203,MASESE WALUKUBA,2042,JINJA MUNICIPALITY,204,JINJA
204301,BUDONDO,2043,KAGOMA,204,JINJA
204302,BUTAGAYA,2043,KAGOMA,204,JINJA
204303,BUWENGE,2043,KAGOMA,204,JINJA
204304,BUWENGE T.C,2043,KAGOMA,204,JINJA
204305,BUYENGO,2043,KAGOMA,204,JINJA
205101,BALAWOLI,2051,BUGABULA,205,KAMULI
205102,BULOPA,2051,BUGABULA,205,KAMULI
205103,BUTANSI,2051,BUGABULA,205,KAMULI
205104,KAMULI T. C,2051,BUGABULA,205,KAMULI
205105,KITAYUNJWA,2051,BUGABULA,205,KAMULI
205106,NABWIGULU,2051,BUGABULA,205,KAMULI
205107,NAMASAGALI,2051,BUGABULA,205,KAMULI
205108,NAMWENDWA,2051,BUGABULA,205,KAMULI
205201,BUGULUMBYA,2052,BUZAAYA,205,KAMULI
205202,KISOZI,2052,BUZAAYA,205,KAMULI
205203,MBULAMUTI,2052,BUZAAYA,205,KAMULI
205204,NAWANYAGO,2052,BUZAAYA,205,KAMULI
205205,WANKOLE,2052,BUZAAYA,205,KAMULI
206101,AMUKOL,2061,TINGEY,206,KAPCHORWA
206102,CHEMA,2061,TINGEY,206,KAPCHORWA
206103,CHEPTERECH,2061,TINGEY,206,KAPCHORWA
206104,GAMOGO,2061,TINGEY,206,KAPCHORWA
206105,KABEYWA,2061,TINGEY,206,KAPCHORWA
206106,KAPCHESOMBE,2061,TINGEY,206,KAPCHORWA
206107,KAPCHORWA TC,2061,TINGEY,206,KAPCHORWA
206108,KAPSINDA,2061,TINGEY,206,KAPCHORWA
206109,KAPTANYA,2061,TINGEY,206,KAPCHORWA
206110,KAPTERET,2061,TINGEY,206,KAPCHORWA
206111,KASEREM,2061,TINGEY,206,KAPCHORWA
206112,KAWOWO,2061,TINGEY,206,KAPCHORWA
206113,MUNARYA,2061,TINGEY,206,KAPCHORWA
206114,SIPI,2061,TINGEY,206,KAPCHORWA
206115,TEGERES,2061,TINGEY,206,KAPCHORWA
207101,KAPUJAN,2071,TOROMA,207,KATAKWI
207102,MAGORO,2071,TOROMA,207,KATAKWI
207103,OMODOI,2071,TOROMA,207,KATAKWI
207104,TOROMA,2071,TOROMA,207,KATAKWI
207201,KATAKWI,2072,USUK,207,KATAKWI
207202,KATAKWI TC,2072,USUK,207,KATAKWI
207203,NGARIAM,2072,USUK,207,KATAKWI
207204,ONGONGOJA,2072,USUK,207,KATAKWI
207205,PALAM,2072,USUK,207,KATAKWI
207206,USUK,2072,USUK,207,KATAKWI
208101,ATUTUR,2081,KUMI,208,KUMI
208102,KANYUM,2081,KUMI,208,KUMI
208103,KUMI,2081,KUMI,208,KUMI
208104,KUMI TC,2081,KUMI,208,KUMI
208105,MUKONGORO,2081,KUMI,208,KUMI
208106,NYERO,2081,KUMI,208,KUMI
208107,ONGINO,2081,KUMI,208,KUMI
209101,BUBYANGU,2091,BUNGOKHO,209,MBALE
209102,BUDWALE,2091,BUNGOKHO,209,MBALE
209103,BUFUMBO,2091,BUNGOKHO,209,MBALE
209104,BUKASAKYA,2091,BUNGOKHO,209,MBALE
209105,BUKIENDE,2091,BUNGOKHO,209,MBALE
209106,BUKONDE,2091,BUNGOKHO,209,MBALE
209107,BUMASIKYE,2091,BUNGOKHO,209,MBALE
209108,BUMBOBI,2091,BUNGOKHO,209,MBALE
209109,BUNGOKHO,2091,BUNGOKHO,209,MBALE
209110,BUNGOKHO MUTOTO,2091,BUNGOKHO,209,MBALE
209111,BUSANO,2091,BUNGOKHO,209,MBALE
209112,BUSIU,2091,BUNGOKHO,209,MBALE
209113,BUSOBA,2091,BUNGOKHO,209,MBALE
209114,LUKHONGE,2091,BUNGOKHO,209,MBALE
209115,LWASSO,2091,BUNGOKHO,209,MBALE
209116,NAKALOKE,2091,BUNGOKHO,209,MBALE
209117,NAKALOKE TC,2091,BUNGOKHO,209,MBALE
209118,NAMANYONYI,2091,BUNGOKHO,209,MBALE
209119,NYONDO,2091,BUNGOKHO,209,MBALE
209120,WANALE,2091,BUNGOKHO,209,MBALE
209201,INDUSTRIAL,2092,MBALE MUNICIPALITY,209,MBALE
209202,NORTHERN,2092,MBALE MUNICIPALITY,209,MBALE
209203,WANALE,2092,MBALE MUNICIPALITY,209,MBALE
211101,TUBUR,2111,SOROTI,211,SOROTI
211102,KAMUDA,2111,SOROTI,211,SOROTI
211103,ASURET,2111,SOROTI,211,SOROTI
211104,KATINE,2111,SOROTI,211,SOROTI
211105,SOROTI,2111,SOROTI,211,SOROTI
211106,ARAPAI,2111,SOROTI,211,SOROTI
211107,GWERI,2111,SOROTI,211,SOROTI
211201,NORTHERN DIVISION,2112,SOROTI  MUNICIPALITY,211,SOROTI
211202,EASTERN DIVISION,2112,SOROTI  MUNICIPALITY,211,SOROTI
211203,WESTERN  DIVISION,2112,SOROTI  MUNICIPALITY,211,SOROTI
212101,KWAPA,2121,TORORO,212,TORORO
212102,MALABA TC,2121,TORORO,212,TORORO
212103,MELLA,2121,TORORO,212,TORORO
212104,MERIKIT,2121,TORORO,212,TORORO
212105,MOLO,2121,TORORO,212,TORORO
212106,MUKUJU,2121,TORORO,212,TORORO
212107,OSUKURU,2121,TORORO,212,TORORO
212201,EASTERN DIVISION,2122,TORORO MUNICIPALITY,212,TORORO
212202,WESTERN DIVISION,2122,TORORO MUNICIPALITY,212,TORORO
212301,IYOLWA,2123,WEST BUDAMA,212,TORORO
212302,KIREWA,2123,WEST BUDAMA,212,TORORO
212303,KISOKO,2123,WEST BUDAMA,212,TORORO
212304,MAGOLA,2123,WEST BUDAMA,212,TORORO
212305,MULANDA,2123,WEST BUDAMA,212,TORORO
212306,NABUYOGA,2123,WEST BUDAMA,212,TORORO
212307,NAGONGERA,2123,WEST BUDAMA,212,TORORO
212308,NAGONGERA TC,2123,WEST BUDAMA,212,TORORO
212309,PAYA,2123,WEST BUDAMA,212,TORORO
212310,PETTA,2123,WEST BUDAMA,212,TORORO
212311,RUBONGI,2123,WEST BUDAMA,212,TORORO
212312,SOP-SOP,2123,WEST BUDAMA,212,TORORO
213101,ALWA,2131,KABERAMAIDO,213,KABERAMAIDO
213102,APERKIRA,2131,KABERAMAIDO,213,KABERAMAIDO
213103,KABERAMAIDO,2131,KABERAMAIDO,213,KABERAMAIDO
213104,KABERAMAIDO TC,2131,KABERAMAIDO,213,KABERAMAIDO
213105,KOBULUBULU,2131,KABERAMAIDO,213,KABERAMAIDO
213106,OCHERO,2131,KABERAMAIDO,213,KABERAMAIDO
213201,ANYARA,2132,KALAKI,213,KABERAMAIDO
213202,APAPAI,2132,KALAKI,213,KABERAMAIDO
213203,BULULU,2132,KALAKI,213,KABERAMAIDO
213204,KAKURE,2132,KALAKI,213,KABERAMAIDO
213205,KALAKI,2132,KALAKI,213,KABERAMAIDO
213206,OTUBOI,2132,KALAKI,213,KABERAMAIDO
214101,BAITAMBOGWE,2141,BUNYA,214,MAYUGE
214102,BUKABOOLI,2141,BUNYA,214,MAYUGE
214103,BUKATUBE,2141,BUNYA,214,MAYUGE
214104,BUSAKIRA,2141,BUNYA,214,MAYUGE
214105,BUWAAYA,2141,BUNYA,214,MAYUGE
214106,IMANYIRO,2141,BUNYA,214,MAYUGE
214107,JAGUZI,2141,BUNYA,214,MAYUGE
214108,KIGANDALO,2141,BUNYA,214,MAYUGE
214109,KITYERERA,2141,BUNYA,214,MAYUGE
214110,MALONGO,2141,BUNYA,214,MAYUGE
214111,MAYUGE TC,2141,BUNYA,214,MAYUGE
214112,MPUNGWE,2141,BUNYA,214,MAYUGE
214113,WAIRASA,2141,BUNYA,214,MAYUGE
215101,BUDADIRI TC,2151,BUDADIRI,215,SIRONKO
215102,BUGITIMWA,2151,BUDADIRI,215,SIRONKO
215103,BUHUGU,2151,BUDADIRI,215,SIRONKO
215104,BUKHULO,2151,BUDADIRI,215,SIRONKO
215105,BUKIISE,2151,BUDADIRI,215,SIRONKO
215106,BUKIYI,2151,BUDADIRI,215,SIRONKO
215107,BUKYABO,2151,BUDADIRI,215,SIRONKO
215108,BUKYAMBI,2151,BUDADIRI,215,SIRONKO
215109,BUMALIMBA,2151,BUDADIRI,215,SIRONKO
215110,BUMASIFWA,2151,BUDADIRI,215,SIRONKO
215111,BUNYAFA,2151,BUDADIRI,215,SIRONKO
215112,BUSULANI,2151,BUDADIRI,215,SIRONKO
215113,BUTANDIGA,2151,BUDADIRI,215,SIRONKO
215114,BUTEZA,2151,BUDADIRI,215,SIRONKO
215115,BUWALASI,2151,BUDADIRI,215,SIRONKO
215116,BUWASA,2151,BUDADIRI,215,SIRONKO
215117,BUYOBO,2151,BUDADIRI,215,SIRONKO
215118,MASABA,2151,BUDADIRI,215,SIRONKO
