Sub-County Code,Sub-County,County Code,County,District Code,District
101101,BUJUMBA,1011,BUJUMBA,101,KALANGALA
101102,KALANGALA TC,1011,BUJUMBA,101,KALANGALA
101103,MUGOYE,1011,BUJUMBA,101,KALANGALA
101201,BUBEKE,1012,KYAMUSWA,101,KALANGALA
101202,BUFUMIRA,1012,KYAMUSWA,101,KALANGALA
101203,KYAMUSWA,1012,KYAMUSWA,101,KALANGALA
101204,MAZINGA,1012,KYAMUSWA,101,KALANGALA
102101,CENTRAL DIVISION,1021,KAMPALA CITY COUNCIL AUTHORITY,102,KAMPALA
102102,KAWEMPE DIVISION,1021,KAMPALA CITY COUNCIL AUTHORITY,102,KAMPALA
102103,LUBAGA DIVISION,1021,KAMPALA CITY COUNCIL AUTHORITY,102,KAMPALA
102104,MAKINDYE DIVISION,1021,KAMPALA CITY COUNCIL AUTHORITY,102,KAMPALA
102105,NAKAWA DIVISION,1021,KAMPALA CITY COUNCIL AUTHORITY,102,KAMPALA
103101,BUKOMERO,1031,KIBOGA,103,KIBOGA
103102,BUKOMERO TC,1031,KIBOGA,103,KIBOGA
103103,DDWANIRO,1031,KIBOGA,103,KIBOGA
103104,KAPEKE,1031,KIBOGA,103,KIBOGA
103105,KIBIGA,1031,KIBOGA,103,KIBOGA
103106,KIBOGA TC,1031,KIBOGA,103,KIBOGA
103107,LWAMATA,1031,KIBOGA,103,KIBOGA
103108,MUWANGA,1031,KIBOGA,103,KIBOGA
104101,BAMUNANIKA,1041,BAMUNANIKA,104,LUWERO
104102,KALAGALA,1041,BAMUNANIKA,104,LUWERO
104103,KAMIRA,1041,BAMUNANIKA,104,LUWERO
104104,KIKYUSA,1041,BAMUNANIKA,104,LUWERO
104105,ZIROBWE,1041,BAMUNANIKA,104,LUWERO
104201,BOMBO TOWN COUNCIL,1042,KATIKAMU,104,LUWERO
104202,BUTUNTUMULA,1042,KATIKAMU,104,LUWERO
104203,KATIKAMU,1042,KATIKAMU,104,LUWERO
104204,LUWEERO TOWN COUNCIL,1042,KATIKAMU,104,LUWERO
104205,LUWERO,1042,KATIKAMU,104,LUWERO
104206,MAKULUBITA,1042,KATIKAMU,104,LUWERO
104207,NYIMBWA,1042,KATIKAMU,104,LUWERO
104208,WOBULENZI TOWN COUNCIL,1042,KATIKAMU,104,LUWERO
105101,BUKAKATA,1051,BUKOTO,105,MASAKA
105102,BUWUNGA,1051,BUKOTO,105,MASAKA
105103,KABONERA,1051,BUKOTO,105,MASAKA
105104,KYANAMUKAAKA,1051,BUKOTO,105,MASAKA
105105,KYESIIGA,1051,BUKOTO,105,MASAKA
