Parish Code,Parish,Sub-County Code,Sub-County,District Code,District
10210313,NDEEBA,102103,LUBAGA DIVISION,102,KAMPALA
10210401,BUKASA,102104,MAKINDYE DIVISION,102,KAMPALA
10210402,BUZIGA,102104,MAKINDYE DIVISION,102,KAMPALA
10210403,GGABA,102104,MAKINDYE DIVISION,102,KAMPALA
10210404,KABALAGALA,102104,MAKINDYE DIVISION,102,KAMPALA
10210405,KANSANGA,102104,MAKINDYE DIVISION,102,KAMPALA
10210406,KATWE I,102104,MAKINDYE DIVISION,102,KAMPALA
10210407,KATWE II,102104,MAKINDYE DIVISION,102,KAMPALA
10210408,KIBULI,102104,MAKINDYE DIVISION,102,KAMPALA
10210409,KIBUYE I,102104,MAKINDYE DIVISION,102,KAMPALA
10210410,KIBUYE II,102104,MAKINDYE DIVISION,102,KAMPALA
10210411,KISUGU,102104,MAKINDYE DIVISION,102,KAMPALA
10210412,LUKULI,102104,MAKINDYE DIVISION,102,KAMPALA
10210413,LUWAFU,102104,MAKINDYE DIVISION,102,KAMPALA
10210414,MAKINDYE I,102104,MAKINDYE DIVISION,102,KAMPALA
10210415,MAKINDYE II,102104,MAKINDYE DIVISION,102,KAMPALA
10210416,NSAMBYA CENTRAL,102104,MAKINDYE DIVISION,102,KAMPALA
10210417,NSAMBYA ESTATE,102104,MAKINDYE DIVISION,102,KAMPALA
10210418,NSAMBYA POLICE BARRACKS,102104,MAKINDYE DIVISION,102,KAMPALA
10210419,SALAAMA,102104,MAKINDYE DIVISION,102,KAMPALA
10210420,WABIGALO,102104,MAKINDYE DIVISION,102,KAMPALA
10210501,BANDA,102105,NAKAWA DIVISION,102,KAMPALA
10210502,BUGOLOBI,102105,NAKAWA DIVISION,102,KAMPALA
10210503,BUKOTO I,102105,NAKAWA DIVISION,102,KAMPALA
10210504,BUKOTO II,102105,NAKAWA DIVISION,102,KAMPALA
10210505,BUTABIKA,102105,NAKAWA DIVISION,102,KAMPALA
10210506,ITEK,102105,NAKAWA DIVISION,102,KAMPALA
10210507,KISWA,102105,NAKAWA DIVISION,102,KAMPALA
10210508,KIWATULE,102105,NAKAWA DIVISION,102,KAMPALA
10210509,KYAMBOGO,102105,NAKAWA DIVISION,102,KAMPALA
10210510,KYANJA,102105,NAKAWA DIVISION,102,KAMPALA
10210511,LUZIRA,102105,NAKAWA DIVISION,102,KAMPALA
10210512,LUZIRA PRISONS,102105,NAKAWA DIVISION,102,KAMPALA
10210513,MBUYA I,102105,NAKAWA DIVISION,102,KAMPALA
10210514,MBUYA II,102105,NAKAWA DIVISION,102,KAMPALA
10210515,MUTUNGO,102105,NAKAWA DIVISION,102,KAMPALA
10210516,NABISUNSA,102105,NAKAWA DIVISION,102,KAMPALA
10210517,NAGURU I,102105,NAKAWA DIVISION,102,KAMPALA
10210518,NAGURU II,102105,NAKAWA DIVISION,102,KAMPALA
10210519,NAKAWA,102105,NAKAWA DIVISION,102,KAMPALA
10210520,NAKAWA INSTITUTES,102105,NAKAWA DIVISION,102,KAMPALA
10210521,NTINDA,102105,NAKAWA DIVISION,102,KAMPALA
10210522,UPK,102105,NAKAWA DIVISION,102,KAMPALA
10210523,UPPER ESTATE,102105,NAKAWA DIVISION,102,KAMPALA
10310101,KAGOGO,103101,BUKOMERO,103,KIBOGA
10310102,KIKOOBA,103101,BUKOMERO,103,KIBOGA
10310103,KYOOMYA,103101,BUKOMERO,103,KIBOGA
10310104,MATAAGI,103101,BUKOMERO,103,KIBOGA
10310105,MWEZI,103101,BUKOMERO,103,KIBOGA
10310201,KAKUNYU,103102,BUKOMERO TC,103,KIBOGA
10310202,KATEERA ,103102,BUKOMERO TC,103,KIBOGA
10310203,KIJJOJOLO,103102,BUKOMERO TC,103,KIBOGA
10310204,MATAAGI  ,103102,BUKOMERO TC,103,KIBOGA
10310301,KAKINZI,103103,DDWANIRO,103,KIBOGA
10310302,KALOKOLA,103103,DDWANIRO,103,KIBOGA
10310303,KATALAMA,103103,DDWANIRO,103,KIBOGA
10310304,LWANKONGE,103103,DDWANIRO,103,KIBOGA
10310401,KAGOBE,103104,KAPEKE,103,KIBOGA
10310402,KASEGA,103104,KAPEKE,103,KIBOGA
10310403,KAYEERA,103104,KAPEKE,103,KIBOGA
10310404,KYAYIMBA,103104,KAPEKE,103,KIBOGA
10310501,DDEGEYA,103105,KIBIGA,103,KIBOGA
10310502,KAJJERE,103105,KIBIGA,103,KIBOGA
10310503,KIBAALE,103105,KIBIGA,103,KIBOGA
10310504,KIBIGA,103105,KIBIGA,103,KIBOGA
10310505,KIZINGA,103105,KIBIGA,103,KIBOGA
10310506,NKANDWA,103105,KIBIGA,103,KIBOGA
10310601,BAMUSUUTA,103106,KIBOGA TC,103,KIBOGA
10310602,BUZIBWEERA,103106,KIBOGA TC,103,KIBOGA
10310603,KIBOGA TOWN,103106,KIBOGA TC,103,KIBOGA
10310604,KIRULUMBA,103106,KIBOGA TC,103,KIBOGA
10310701,BUNINGA,103107,LWAMATA,103,KIBOGA
10310702,KASEJJERE,103107,LWAMATA,103,KIBOGA
10310703,KISAGAZI,103107,LWAMATA,103,KIBOGA
10310704,KISWEEKA,103107,LWAMATA,103,KIBOGA
10310705,KYEKUMBYA,103107,LWAMATA,103,KIBOGA
10310706,LWAMATA,103107,LWAMATA,103,KIBOGA
10310707,NSALA,103107,LWAMATA,103,KIBOGA
10310708,SSINDE,103107,LWAMATA,103,KIBOGA
10310801,BIKKO,103108,MUWANGA,103,KIBOGA
10310802,MUWANGA,103108,MUWANGA,103,KIBOGA
10310803,NABWENDO,103108,MUWANGA,103,KIBOGA
10310804,NAKASENGERE,103108,MUWANGA,103,KIBOGA
10310805,NAKASOZI,103108,MUWANGA,103,KIBOGA
10410101,KIBANYI,104101,BAMUNANIKA,104,LUWERO
10410102,KIBIRIZI,104101,BAMUNANIKA,104,LUWERO
10410103,KITEME,104101,BAMUNANIKA,104,LUWERO
10410104,KYAMPISI,104101,BAMUNANIKA,104,LUWERO
10410105,MPOLOGOMA,104101,BAMUNANIKA,104,LUWERO
10410106,SEKAMULI,104101,BAMUNANIKA,104,LUWERO
10410201,BUSIIKA,104102,KALAGALA,104,LUWERO
10410202,BUSOKE,104102,KALAGALA,104,LUWERO
10410203,DDEGEYA,104102,KALAGALA,104,LUWERO
10410204,KALANAMU,104102,KALAGALA,104,LUWERO
10410205,KAMIRA,104102,KALAGALA,104,LUWERO
10410206,KAYINDU,104102,KALAGALA,104,LUWERO
10410207,LUNYOLYA,104102,KALAGALA,104,LUWERO
10410208,VVUMBA,104102,KALAGALA,104,LUWERO
10410301,KABUNYATA,104103,KAMIRA,104,LUWERO
10410302,KASWA,104103,KAMIRA,104,LUWERO
10410303,KATAGWE,104103,KAMIRA,104,LUWERO
10410304,KITENDERI,104103,KAMIRA,104,LUWERO
10410305,MABUYE,104103,KAMIRA,104,LUWERO
10410306,MAZZI,104103,KAMIRA,104,LUWERO
10410307,NAMBEERE,104103,KAMIRA,104,LUWERO
10410401,KIBENGO,104104,KIKYUSA,104,LUWERO
10410402,KIREKU,104104,KIKYUSA,104,LUWERO
10410403,KIZIBA,104104,KIKYUSA,104,LUWERO
10410404,KYAMPOGOLA,104104,KIKYUSA,104,LUWERO
10410405,WABUSANA,104104,KIKYUSA,104,LUWERO
10410406,WAKANYA,104104,KIKYUSA,104,LUWERO
10410501,BUBUUBI,104105,ZIROBWE,104,LUWERO
10410502,BUKIMU,104105,ZIROBWE,104,LUWERO
10410503,KABULANAKA,104105,ZIROBWE,104,LUWERO
10410504,KAKAKALA,104105,ZIROBWE,104,LUWERO
10410505,KYETUME,104105,ZIROBWE,104,LUWERO
10410506,NAKIGOZA,104105,ZIROBWE,104,LUWERO
10410507,NAMBI,104105,ZIROBWE,104,LUWERO
10410508,NGALONKALU,104105,ZIROBWE,104,LUWERO
10420101,BOMBO CENTRAL,104201,BOMBO TOWN COUNCIL,104,LUWERO
10420102,GANGAMA,104201,BOMBO TOWN COUNCIL,104,LUWERO
10420103,LOMULE,104201,BOMBO TOWN COUNCIL,104,LUWERO
10420104,MPAKAWERO,104201,BOMBO TOWN COUNCIL,104,LUWERO
10420105,NAMALIGA,104201,BOMBO TOWN COUNCIL,104,LUWERO
10420106,NKOKONJERU,104201,BOMBO TOWN COUNCIL,104,LUWERO
10420201,BAMUGOLODDE,104202,BUTUNTUMULA,104,LUWERO
10420202,BUKAMBAGGA,104202,BUTUNTUMULA,104,LUWERO
10420203,KAKABALA,104202,BUTUNTUMULA,104,LUWERO
10420204,KAKINZI,104202,BUTUNTUMULA,104,LUWERO
10420205,KALWANGA,104202,BUTUNTUMULA,104,LUWERO
10420206,KYAWANGABI,104202,BUTUNTUMULA,104,LUWERO
10420207,NGOGOLO,104202,BUTUNTUMULA,104,LUWERO
10420301,BUKEEKA,104203,KATIKAMU,104,LUWERO
10420302,BUYUKI,104203,KATIKAMU,104,LUWERO
10420303,KIKOMA,104203,KATIKAMU,104,LUWERO
10420304,KYALUGONDO,104203,KATIKAMU,104,LUWERO
10420305,MIGADDE,104203,KATIKAMU,104,LUWERO
10420306,MUSAALE,104203,KATIKAMU,104,LUWERO
10420307,TWEYANZE,104203,KATIKAMU,104,LUWERO
10420401,CENTRAL WARD,104204,LUWEERO TOWN COUNCIL,104,LUWERO
10420402,KAVULE,104204,LUWEERO TOWN COUNCIL,104,LUWERO
10420403,KIWOGOZI,104204,LUWEERO TOWN COUNCIL,104,LUWERO
10420404,LUWERO SOUTH EAST,104204,LUWEERO TOWN COUNCIL,104,LUWERO
10420405,LUWERO WEST,104204,LUWEERO TOWN COUNCIL,104,LUWERO
10420406,P.W.D,104204,LUWEERO TOWN COUNCIL,104,LUWERO
10420501,BWAZIBA,104205,LUWERO,104,LUWERO
10420502,BWEYEYO,104205,LUWERO,104,LUWERO
10420503,KABAKEDI,104205,LUWERO,104,LUWERO
10420504,KAGUGO,104205,LUWERO,104,LUWERO
10420505,KASAALA,104205,LUWERO,104,LUWERO
10420506,KATUUGO,104205,LUWERO,104,LUWERO
10420507,KIGOMBE,104205,LUWERO,104,LUWERO
10420508,KIKUBE,104205,LUWERO,104,LUWERO
10420509,NAKIKOOTA,104205,LUWERO,104,LUWERO
10420601,KAGOGO,104206,MAKULUBITA,104,LUWERO
10420602,KALASA,104206,MAKULUBITA,104,LUWERO
10420603,KANGAVE,104206,MAKULUBITA,104,LUWERO
10420604,KANYANDA,104206,MAKULUBITA,104,LUWERO
10420605,KASOZI,104206,MAKULUBITA,104,LUWERO
10420606,MAKULUBITA,104206,MAKULUBITA,104,LUWERO
10420607,MAWALE,104206,MAKULUBITA,104,LUWERO
10420608,NSAVU,104206,MAKULUBITA,104,LUWERO
10420609,WALULEETA,104206,MAKULUBITA,104,LUWERO
10420701,BAJJO,104207,NYIMBWA,104,LUWERO
10420702,BUVUMA,104207,NYIMBWA,104,LUWERO
10420703,KALULE,104207,NYIMBWA,104,LUWERO
10420704,KIYANDA,104207,NYIMBWA,104,LUWERO
10420705,NAKATOONYA,104207,NYIMBWA,104,LUWERO
10420706,SSAMBWE,104207,NYIMBWA,104,LUWERO
10420801,BUKALASA,104208,WOBULENZI TOWN COUNCIL,104,LUWERO
10420802,BUKOLWA,104208,WOBULENZI TOWN COUNCIL,104,LUWERO
10420803,KATIKAMU,104208,WOBULENZI TOWN COUNCIL,104,LUWERO
10420804,WOBULENZI CENTRAL,104208,WOBULENZI TOWN COUNCIL,104,LUWERO
10420805,WOBULENZI EAST,104208,WOBULENZI TOWN COUNCIL,104,LUWERO
10420806,WOBULENZI WEST,104208,WOBULENZI TOWN COUNCIL,104,LUWERO
10510101,BUKIBONGA,105101,BUKAKATA,105,MASAKA
10510102,MAKONZI,105101,BUKAKATA,105,MASAKA
10510103,SSUNGA,105101,BUKAKATA,105,MASAKA
10510201,BULANDO,105102,BUWUNGA,105,MASAKA
10510202,BUWUNGA,105102,BUWUNGA,105,MASAKA
10510203,GGULAMA,105102,BUWUNGA,105,MASAKA
10510204,KAMWOZI,105102,BUWUNGA,105,MASAKA
10510205,KANYWA,105102,BUWUNGA,105,MASAKA
10510206,KASAKA,105102,BUWUNGA,105,MASAKA
10510207,KITENGESA,105102,BUWUNGA,105,MASAKA
10510208,MAZINGA,105102,BUWUNGA,105,MASAKA
10510301,BISANJE,105103,KABONERA,105,MASAKA
10510302,BUTALE,105103,KABONERA,105,MASAKA
10510303,KAKUNYU,105103,KABONERA,105,MASAKA
10510304,KIRIMYA,105103,KABONERA,105,MASAKA
10510305,KITANGA,105103,KABONERA,105,MASAKA
10510306,KIZIBA,105103,KABONERA,105,MASAKA
10510307,KYAMUYIMBWA,105103,KABONERA,105,MASAKA
10510401,BUYAGA,105104,KYANAMUKAAKA,105,MASAKA
10510402,BUYINJA,105104,KYANAMUKAAKA,105,MASAKA
10510403,KAMUZINDA,105104,KYANAMUKAAKA,105,MASAKA
10510404,KYANTALE,105104,KYANAMUKAAKA,105,MASAKA
10510405,ZZIMWE,105104,KYANAMUKAAKA,105,MASAKA
10510501,BBUULIRO,105105,KYESIIGA,105,MASAKA
10510502,BUGERE,105105,KYESIIGA,105,MASAKA
10510503,KITUNGA,105105,KYESIIGA,105,MASAKA
10510504,KYESIIGA,105105,KYESIIGA,105,MASAKA
10510601,BUGABIRA,105106,MUKUNGWE,105,MASAKA
10510602,BULAYI,105106,MUKUNGWE,105,MASAKA
10510603,KALAGALA,105106,MUKUNGWE,105,MASAKA
10510604,KATWADDE,105106,MUKUNGWE,105,MASAKA
10510605,MATANGA,105106,MUKUNGWE,105,MASAKA
10510606,SAMALIA,105106,MUKUNGWE,105,MASAKA
10520101,BUTEGO,105201,KATWE-BUTEGO,105,MASAKA
10520102,KATWE,105201,KATWE-BUTEGO,105,MASAKA
10520201,KIMAANYA,105202,KIMAANYA-KYABAKUZZA,105,MASAKA
10520202,KYABAKUZA,105202,KIMAANYA-KYABAKUZZA,105,MASAKA
10520301,NYENDO,105203,NYENDO-SSENYANGE,105,MASAKA
10520302,SSENYANGE,105203,NYENDO-SSENYANGE,105,MASAKA
10610101,BBONGOLE,106101,BUWAMA,106,MPIGI
10610102,BULUNDA,106101,BUWAMA,106,MPIGI
10610103,BUNJAKKO,106101,BUWAMA,106,MPIGI
10610104,BUYIJJA,106101,BUWAMA,106,MPIGI
10610105,JALAMBA,106101,BUWAMA,106,MPIGI
10610106,KAWUMBA,106101,BUWAMA,106,MPIGI
10610107,LUBUGUMU,106101,BUWAMA,106,MPIGI
10610108,MBIZZINYA,106101,BUWAMA,106,MPIGI
10610109,NABITEETE,106101,BUWAMA,106,MPIGI
10610110,SSANGO,106101,BUWAMA,106,MPIGI
10610201,BUTOOLO,106102,KAMMENGO,106,MPIGI
10610202,KAMMENGO,106102,KAMMENGO,106,MPIGI
10610203,KANYIKE,106102,KAMMENGO,106,MPIGI
10610204,KYANJA,106102,KAMMENGO,106,MPIGI
10610205,LUWALA,106102,KAMMENGO,106,MPIGI
10610206,LWAGWA KIBANGA,106102,KAMMENGO,106,MPIGI
10610207,MUSA,106102,KAMMENGO,106,MPIGI
10610208,MUYIRA,106102,KAMMENGO,106,MPIGI
10610213,KANYIKE,106102,KAMMENGO,106,MPIGI
10610301,KAVULE,106103,KIRINGENTE,106,MPIGI
10610302,KIKONDO,106103,KIRINGENTE,106,MPIGI
10610303,KOLOLO,106103,KIRINGENTE,106,MPIGI
10610304,LUVUMBULA,106103,KIRINGENTE,106,MPIGI
10610305,SEKIWUNGA,106103,KIRINGENTE,106,MPIGI
10610401,BUKASA,106104,KITUNTU,106,MPIGI
10610402,BUKEMBA,106104,KITUNTU,106,MPIGI
10610403,KANTIINI,106104,KITUNTU,106,MPIGI
10610404,KASOZI,106104,KITUNTU,106,MPIGI
10610405,LUWUNGA,106104,KITUNTU,106,MPIGI
10610406,MIGAMBA,106104,KITUNTU,106,MPIGI
10610407,NKASI,106104,KITUNTU,106,MPIGI
10610501,BUMOOZI,106105,MPIGI TC,106,MPIGI
10610502,KAFUMU,106105,MPIGI TC,106,MPIGI
10610503,KAKOOLA,106105,MPIGI TC,106,MPIGI
10610504,KKONKOMA,106105,MPIGI TC,106,MPIGI
10610505,KYALI,106105,MPIGI TC,106,MPIGI
10610506,LWANGA,106105,MPIGI TC,106,MPIGI
10610507,MAZIBA,106105,MPIGI TC,106,MPIGI
10610508,WARD A,106105,MPIGI TC,106,MPIGI
10610509,WARD B,106105,MPIGI TC,106,MPIGI
10610510,WARD C,106105,MPIGI TC,106,MPIGI
10610511,WARD D,106105,MPIGI TC,106,MPIGI
10610601,BULEREJJE,106106,MUDUUMA,106,MPIGI
10610602,JJEZA,106106,MUDUUMA,106,MPIGI
10610603,LUGYO,106106,MUDUUMA,106,MPIGI
10610604,MAGALA,106106,MUDUUMA,106,MPIGI
10610605,MALIMA,106106,MUDUUMA,106,MPIGI
10610606,MBAZZI,106106,MUDUUMA,106,MPIGI
10610607,TIRIBOGO,106106,MUDUUMA,106,MPIGI
10610701,BUKUNGE,106107,NKOZI,106,MPIGI
10610702,BUSEESE,106107,NKOZI,106,MPIGI
10610703,GGOLO,106107,NKOZI,106,MPIGI
10610704,KAYABWE,106107,NKOZI,106,MPIGI
10610705,MUGGE,106107,NKOZI,106,MPIGI
10610706,NABUSANKE,106107,NKOZI,106,MPIGI
10610707,NAKIBANGA,106107,NKOZI,106,MPIGI
10610708,NNINDYE,106107,NKOZI,106,MPIGI
10710101,KALAMA,107101,BUTOLOOGO,107,MUBENDE
10710102,KANYOGOGA,107101,BUTOLOOGO,107,MUBENDE
10710103,KASOLOKAMPONYE,107101,BUTOLOOGO,107,MUBENDE
10710104,KIDONGO,107101,BUTOLOOGO,107,MUBENDE
10710105,KIJAAGI,107101,BUTOLOOGO,107,MUBENDE
10710106,KIRWANYI,107101,BUTOLOOGO,107,MUBENDE
10710107,KISAGAZI,107101,BUTOLOOGO,107,MUBENDE
10710108,KITUULE,107101,BUTOLOOGO,107,MUBENDE
10710109,KYEZA,107101,BUTOLOOGO,107,MUBENDE
10710110,MAKUKUULU,107101,BUTOLOOGO,107,MUBENDE
10710201,BUGONZI,107102,KITENGA,107,MUBENDE
10710202,KABYUMA,107102,KITENGA,107,MUBENDE
10710203,KAGOMA,107102,KITENGA,107,MUBENDE
10710204,KALONGA,107102,KITENGA,107,MUBENDE
10710205,KAYEBE,107102,KITENGA,107,MUBENDE
10710301,KAKIGANDO,107103,KIYUNI         ,107,MUBENDE
10710302,KAKINDU,107103,KIYUNI         ,107,MUBENDE
10710303,KANSEERA,107103,KIYUNI         ,107,MUBENDE
10710304,KATENTE,107103,KIYUNI         ,107,MUBENDE
10710305,KATOMA,107103,KIYUNI         ,107,MUBENDE
10710306,KAWUMULWA,107103,KIYUNI         ,107,MUBENDE
10710307,KAYINJA,107103,KIYUNI         ,107,MUBENDE
10710308,KIJJUMBA,107103,KIYUNI         ,107,MUBENDE
10710309,MIJUNWA,107103,KIYUNI         ,107,MUBENDE
10710401,KABULAMULIRO,107104,MADUDU,107,MUBENDE
10710402,KAKENZI,107104,MADUDU,107,MUBENDE
10710403,KANSAMBYA,107104,MADUDU,107,MUBENDE
10710404,KIKOMA,107104,MADUDU,107,MUBENDE
10710405,KITEMBA,107104,MADUDU,107,MUBENDE
10710406,LUTEETE,107104,MADUDU,107,MUBENDE
10710407,NALUWONDWA,107104,MADUDU,107,MUBENDE
10710501,KASAANA,107105,MUBENDE TC,107,MUBENDE
10710502,KASENYI CALTEX,107105,MUBENDE TC,107,MUBENDE
10710503,KATOGO,107105,MUBENDE TC,107,MUBENDE
10710504,KAWEERI,107105,MUBENDE TC,107,MUBENDE
10710505,KISEKENDE,107105,MUBENDE TC,107,MUBENDE
10710506,KYATEREKERA,107105,MUBENDE TC,107,MUBENDE
10710507,NAKAYIMA,107105,MUBENDE TC,107,MUBENDE
10720101,BIWANGA,107201,BAGEZZA,107,MUBENDE
10720102,BUSAALE,107201,BAGEZZA,107,MUBENDE
10720103,GAYAZA,107201,BAGEZZA,107,MUBENDE
10720104,KALAGALA,107201,BAGEZZA,107,MUBENDE
10720105,KIJJOJOLO,107201,BAGEZZA,107,MUBENDE
10720106,LWABAGABO,107201,BAGEZZA,107,MUBENDE
10720107,MUGUNGULU,107201,BAGEZZA,107,MUBENDE
10720108,NABIKAKALA,107201,BAGEZZA,107,MUBENDE
10720201,BUTUUTI,107202,KASAMBYA,107,MUBENDE
10720202,KABBO,107202,KASAMBYA,107,MUBENDE
10720203,KAMUSONGOLE,107202,KASAMBYA,107,MUBENDE
10720204,KASAMBYA,107202,KASAMBYA,107,MUBENDE
10720205,KASAMBYA TB,107202,KASAMBYA,107,MUBENDE
10720206,KASHENYI,107202,KASAMBYA,107,MUBENDE
10720207,KIROLERO,107202,KASAMBYA,107,MUBENDE
10720208,KYAKASA,107202,KASAMBYA,107,MUBENDE
10720209,LWEGULA,107202,KASAMBYA,107,MUBENDE
10720210,MUYINAYINA,107202,KASAMBYA,107,MUBENDE
10720211,NKINGA,107202,KASAMBYA,107,MUBENDE
10720301,KABOWA,107203,KIBALINGA,107,MUBENDE
10720302,KABUBBU,107203,KIBALINGA,107,MUBENDE
10720303,KASAANA,107203,KIBALINGA,107,MUBENDE
10720304,KIBALINGA A,107203,KIBALINGA,107,MUBENDE
10720305,KIBALINGA B,107203,KIBALINGA,107,MUBENDE
10720306,KISOMBWA,107203,KIBALINGA,107,MUBENDE
10720307,NKANDWA,107203,KIBALINGA,107,MUBENDE
10720308,NTUNGAMO,107203,KIBALINGA,107,MUBENDE
10720401,BUBANDA,107204,KIGANDO,107,MUBENDE
10720402,KACWAMANGO,107204,KIGANDO,107,MUBENDE
10720403,KIGANDO,107204,KIGANDO,107,MUBENDE
10720404,KIRUME,107204,KIGANDO,107,MUBENDE
10720405,KIYONGA,107204,KIGANDO,107,MUBENDE
10720406,LUSIBA,107204,KIGANDO,107,MUBENDE
10720407,MUGOLODDE,107204,KIGANDO,107,MUBENDE
10720408,NDYANGOMA,107204,KIGANDO,107,MUBENDE
10720501,KABALUNGI,107205,NABINGOOLA,107,MUBENDE
10720502,KAFUNDEZI,107205,NABINGOOLA,107,MUBENDE
10720503,KIYITA,107205,NABINGOOLA,107,MUBENDE
10720504,LUBIMBIRI,107205,NABINGOOLA,107,MUBENDE
10720505,NABINGOOLA,107205,NABINGOOLA,107,MUBENDE
10730101,BUKUYA,107301,BUKUYA,107,MUBENDE
10730102,BUKUYA TB,107301,BUKUYA,107,MUBENDE
10730103,KABOSI,107301,BUKUYA,107,MUBENDE
10730104,KABUYIMBA,107301,BUKUYA,107,MUBENDE
10730105,KALAATA,107301,BUKUYA,107,MUBENDE
10730106,KASAMBA,107301,BUKUYA,107,MUBENDE
10730107,KIZIBAWO,107301,BUKUYA,107,MUBENDE
10730108,NAMILYANGO,107301,BUKUYA,107,MUBENDE
