Parish Code,Parish,Sub-County Code,Sub-County,District Code,District
10110101,BUJUMBA,101101,BUJUMBA,101,KALANGALA
10110102,BUNYAMA,101101,BUJUMBA,101,KALANGALA
10110103,BWENDERO,101101,BUJUMBA,101,KALANGALA
10110104,BWENDERO PLANTATION,101101,BUJUMBA,101,KALANGALA
10110105,MULABANA,101101,BUJUMBA,101,KALANGALA
10110201,KALANGALA A,101102,KALANGALA TC,101,KALANGALA
10110202,KALANGALA B,101102,KALANGALA TC,101,KALANGALA
10110301,BBETA,101103,MUGOYE,101,KALANGALA
10110302,KAGULUBE,101103,MUGOYE,101,KALANGALA
10110303,KAYUNGA,101103,MUGOYE,101,KALANGALA
10120101,BUBEKE,101201,BUBEKE,101,KALANGALA
10120102,JAANA,101201,BUBEKE,101,KALANGALA
10120201,BUFUMIRA,101202,BUFUMIRA,101,KALANGALA
10120202,LULAMBA,101202,BUFUMIRA,101,KALANGALA
10120301,BUWANGA,101203,KYAMUSWA,101,KALANGALA
10120302,BUZINGO,101203,KYAMUSWA,101,KALANGALA
10120401,BUGGALA,101204,MAZINGA,101,KALANGALA
10120402,BUTULUME,101204,MAZINGA,101,KALANGALA
10210101,BUKESA,102101,CENTRAL DIVISION,102,KAMPALA
10210102,CIVIC CENTRE,102101,CENTRAL DIVISION,102,KAMPALA
10210103,INDUSRIAL AREA,102101,CENTRAL DIVISION,102,KAMPALA
10210104,KAGUGUBE,102101,CENTRAL DIVISION,102,KAMPALA
10210105,KAMWOKYA II,102101,CENTRAL DIVISION,102,KAMPALA
10210106,KAMYOKYA I,102101,CENTRAL DIVISION,102,KAMPALA
10210107,KISENYI I,102101,CENTRAL DIVISION,102,KAMPALA
10210108,KISENYI II,102101,CENTRAL DIVISION,102,KAMPALA
10210109,KISENYI III,102101,CENTRAL DIVISION,102,KAMPALA
10210110,KOLOLO I,102101,CENTRAL DIVISION,102,KAMPALA
10210111,KOLOLO II,102101,CENTRAL DIVISION,102,KAMPALA
10210112,KOLOLO III,102101,CENTRAL DIVISION,102,KAMPALA
10210113,KOLOLO IV,102101,CENTRAL DIVISION,102,KAMPALA
10210114,MENGO,102101,CENTRAL DIVISION,102,KAMPALA
10210115,NAKASERO I,102101,CENTRAL DIVISION,102,KAMPALA
10210116,NAKASERO II,102101,CENTRAL DIVISION,102,KAMPALA
10210117,NAKASERO III,102101,CENTRAL DIVISION,102,KAMPALA
10210118,NAKASERO IV,102101,CENTRAL DIVISION,102,KAMPALA
10210119,NAKIVUBO SHAURIYAKO,102101,CENTRAL DIVISION,102,KAMPALA
10210120,OLD KAMPALA,102101,CENTRAL DIVISION,102,KAMPALA
10210201,BWAISE I,102102,KAWEMPE DIVISION,102,KAMPALA
10210202,BWAISE II,102102,KAWEMPE DIVISION,102,KAMPALA
10210203,BWAISE III,102102,KAWEMPE DIVISION,102,KAMPALA
10210204,KANYANYA,102102,KAWEMPE DIVISION,102,KAMPALA
10210205,KAWEMPE I,102102,KAWEMPE DIVISION,102,KAMPALA
10210206,KAWEMPE II,102102,KAWEMPE DIVISION,102,KAMPALA
10210207,KAZO ANGOLA,102102,KAWEMPE DIVISION,102,KAMPALA
10210208,KIKAAYA,102102,KAWEMPE DIVISION,102,KAMPALA
10210209,KOMAMBOGA,102102,KAWEMPE DIVISION,102,KAMPALA
10210210,KYEBANDO,102102,KAWEMPE DIVISION,102,KAMPALA
10210211,MAKERERE I,102102,KAWEMPE DIVISION,102,KAMPALA
10210212,MAKERERE II,102102,KAWEMPE DIVISION,102,KAMPALA
10210213,MAKERERE III,102102,KAWEMPE DIVISION,102,KAMPALA
10210214,MAKERERE UNIVERSITY,102102,KAWEMPE DIVISION,102,KAMPALA
10210215,MPERERWE,102102,KAWEMPE DIVISION,102,KAMPALA
10210216,MULAGO I,102102,KAWEMPE DIVISION,102,KAMPALA
10210217,MULAGO II,102102,KAWEMPE DIVISION,102,KAMPALA
10210218,MULAGO III,102102,KAWEMPE DIVISION,102,KAMPALA
10210219,WANDEGEYA,102102,KAWEMPE DIVISION,102,KAMPALA
10210301,BUSEGA,102103,LUBAGA DIVISION,102,KAMPALA
10210302,KABOWA,102103,LUBAGA DIVISION,102,KAMPALA
10210303,KASUBI,102103,LUBAGA DIVISION,102,KAMPALA
10210304,LUBAGA,102103,LUBAGA DIVISION,102,KAMPALA
10210305,LUBYA,102103,LUBAGA DIVISION,102,KAMPALA
10210306,LUNGUJJA,102103,LUBAGA DIVISION,102,KAMPALA
10210307,MUTUNDWE,102103,LUBAGA DIVISION,102,KAMPALA
10210308,NAJJANANKUMBI I,102103,LUBAGA DIVISION,102,KAMPALA
10210309,NAJJANANKUMBI II,102103,LUBAGA DIVISION,102,KAMPALA
10210310,NAMIREMBE,102103,LUBAGA DIVISION,102,KAMPALA
10210311,NANKULABYE I,102103,LUBAGA DIVISION,102,KAMPALA
10210312,NATEETE,102103,LUBAGA DIVISION,102,KAMPALA
